"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "Markdown", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\laragon\www\icei\public\css\lightbox.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\icei\public\css\plantilla.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\icei\public\css\select2.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\icei\public\icons\edit.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\laragon\www\icei\public\images\bg-login-page.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"c:\laragon\www\icei\public\images\error-illustration.svg", "XML", 0, 0, 0, 0, 0, 0, 73, 0, 0, 1, 74
"c:\laragon\www\icei\public\images\illustration.svg", "XML", 0, 0, 0, 0, 0, 0, 121, 0, 0, 1, 122
"c:\laragon\www\icei\public\images\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\laragon\www\icei\public\images\logo2.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\laragon\www\icei\public\images\phone-illustration.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\laragon\www\icei\public\images\tailwindcss.svg", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\laragon\www\icei\public\images\user.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\laragon\www\icei\public\index.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\laragon\www\icei\public\js\app.js", "JavaScript", 0, 0, 16088, 0, 0, 0, 0, 0, 12858, 3797, 32743
"c:\laragon\www\icei\public\js\auth.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\laragon\www\icei\public\js\ckeditor.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 6
"c:\laragon\www\icei\public\js\lightbox-plus-jquery.min.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 35, 0, 38
"c:\laragon\www\icei\public\js\plantilla.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\laragon\www\icei\public\js\select2.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 2
"c:\laragon\www\icei\public\mix-manifest.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\laragon\www\icei\public\vendor\adminlte\dist\css\adminlte.css", "CSS", 0, 0, 0, 26045, 0, 0, 0, 0, 21, 5155, 31221
"c:\laragon\www\icei\public\vendor\adminlte\dist\css\adminlte.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 10, 0, 12
"c:\laragon\www\icei\public\vendor\adminlte\dist\js\adminlte.js", "JavaScript", 0, 0, 1362, 0, 0, 0, 0, 0, 223, 312, 1897
"c:\laragon\www\icei\public\vendor\adminlte\dist\js\adminlte.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\laragon\www\icei\public\vendor\bootstrap\js\bootstrap.bundle.js", "JavaScript", 0, 0, 4586, 0, 0, 0, 0, 0, 1375, 1174, 7135
"c:\laragon\www\icei\public\vendor\bootstrap\js\bootstrap.bundle.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\laragon\www\icei\public\vendor\bootstrap\js\bootstrap.js", "JavaScript", 0, 0, 3347, 0, 0, 0, 0, 0, 325, 850, 4522
"c:\laragon\www\icei\public\vendor\bootstrap\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\all.css", "CSS", 0, 0, 0, 3070, 0, 0, 0, 0, 6, 1481, 4557
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\all.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\brands.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\brands.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\fontawesome.css", "CSS", 0, 0, 0, 3039, 0, 0, 0, 0, 6, 1478, 4523
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\fontawesome.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\regular.css", "CSS", 0, 0, 0, 10, 0, 0, 0, 0, 4, 2, 16
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\regular.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\solid.css", "CSS", 0, 0, 0, 11, 0, 0, 0, 0, 4, 2, 17
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\solid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\svg-with-js.css", "CSS", 0, 0, 0, 312, 0, 0, 0, 0, 4, 56, 372
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\svg-with-js.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\v4-shims.css", "CSS", 0, 0, 0, 1556, 0, 0, 0, 0, 4, 613, 2173
"c:\laragon\www\icei\public\vendor\fontawesome-free\css\v4-shims.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 4, 0, 5
"c:\laragon\www\icei\public\vendor\fontawesome-free\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 0, 0, 3566, 0, 4, 1, 3571
"c:\laragon\www\icei\public\vendor\fontawesome-free\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 0, 0, 799, 0, 4, 1, 804
"c:\laragon\www\icei\public\vendor\fontawesome-free\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 0, 0, 4934, 0, 4, 1, 4939
"c:\laragon\www\icei\public\vendor\jquery\jquery.js", "JavaScript", 0, 0, 6800, 0, 0, 0, 0, 0, 1810, 1989, 10599
"c:\laragon\www\icei\public\vendor\jquery\jquery.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\laragon\www\icei\public\vendor\overlayScrollbars\css\OverlayScrollbars.css", "CSS", 0, 0, 0, 594, 0, 0, 0, 0, 24, 7, 625
"c:\laragon\www\icei\public\vendor\overlayScrollbars\css\OverlayScrollbars.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 12, 0, 13
"c:\laragon\www\icei\public\vendor\overlayScrollbars\js\OverlayScrollbars.js", "JavaScript", 0, 0, 4880, 0, 0, 0, 0, 0, 1109, 664, 6653
"c:\laragon\www\icei\public\vendor\overlayScrollbars\js\OverlayScrollbars.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 12, 0, 13
"c:\laragon\www\icei\public\vendor\overlayScrollbars\js\jquery.overlayScrollbars.js", "JavaScript", 0, 0, 3989, 0, 0, 0, 0, 0, 1051, 531, 5571
"c:\laragon\www\icei\public\vendor\overlayScrollbars\js\jquery.overlayScrollbars.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 12, 0, 13
"c:\laragon\www\icei\public\vendor\popper\esm\popper-utils.js", "JavaScript", 0, 0, 616, 0, 0, 0, 0, 0, 360, 138, 1114
"c:\laragon\www\icei\public\vendor\popper\esm\popper-utils.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\public\vendor\popper\esm\popper.js", "JavaScript", 0, 0, 1241, 0, 0, 0, 0, 0, 1051, 325, 2617
"c:\laragon\www\icei\public\vendor\popper\esm\popper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\public\vendor\popper\popper-utils.js", "JavaScript", 0, 0, 579, 0, 0, 0, 0, 0, 360, 124, 1063
"c:\laragon\www\icei\public\vendor\popper\popper-utils.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\public\vendor\popper\popper.js", "JavaScript", 0, 0, 1125, 0, 0, 0, 0, 0, 1051, 287, 2463
"c:\laragon\www\icei\public\vendor\popper\popper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\public\vendor\popper\umd\popper-utils.js", "JavaScript", 0, 0, 651, 0, 0, 0, 0, 0, 360, 141, 1152
"c:\laragon\www\icei\public\vendor\popper\umd\popper-utils.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\public\vendor\popper\umd\popper.js", "JavaScript", 0, 0, 1247, 0, 0, 0, 0, 0, 1051, 327, 2625
"c:\laragon\www\icei\public\vendor\popper\umd\popper.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\laragon\www\icei\resources\css\app.css", "CSS", 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\laragon\www\icei\resources\css\custom.css", "CSS", 0, 0, 0, 51, 0, 0, 0, 0, 0, 13, 64
